ID,Region/Province,Municipality/City,2009,2012,2015
23124,,Ramon,16.3,18.1,13.4
23125,,Reina Mercedes,14.0,16.2,12.1
23126,,Roxas,15.8,15.6,13.5
23127,,San Agustin,11.8,14.6,13.6
23128,,San Guillermo,21.6,27.6,23.5
23129,,San Isidro,17.3,14.6,11.7
23130,,San Manuel,20.5,16.2,13.5
23131,,San Mariano,24.2,30.6,25.3
23132,,San Mateo,14.6,12.7,9.9
23133,,San Pablo,19.7,24.4,20.7
23134,,Santa Maria,24.4,31.3,24.8
23135,,Santiago City,10.8,15.0,12.8
23136,,Santo Tomas,18.5,23.4,21.2
23137,,Tumauini,19.8,20.3,18.1
25001,Nueva Vizcaya,Ambaguio,15.5,38.9,23.9
25002,,Aritao,16.2,11.9,16.5
25003,,Bagabag,13.4,9.8,8.7
25004,,Bambang,11.3,10.3,8.4
25005,,Bayombong,8.6,8.7,6.3
25006,,Diadi,17.6,16.5,15.0
25007,,Dupax del Norte,11.4,14.6,12.8
25008,,Dupax del Sur,15.4,17.0,14.4
25009,,Kasibu,13.6,22.8,17.8
25010,,Kayapa,16.1,32.9,21.1
25011,,Quezon,16.6,21.0,13.3
25012,,Santa Fe,11.4,23.7,15.1
25013,,Solano,10.1,9.5,6.6
25014,,Villaverde,11.1,9.6,9.8
25015,,Alfonso Castaneda,14.0,33.5,19.7
25701,Quirino,Aglipay,16.3,18.2,14.1
25702,,Cobarronguis,11.8,15.2,10.8
25703,,Diffun,17.5,15.8,13.4
25704,,Maddela,14.4,13.7,11.0
25705,,Saguday,18.8,12.6,10.1
25706,,Nagtipunan,15.4,26.2,19.6
,Region III (Central Luzon),,,,
30801,Bataan,Abucay,7.0,4.0,14.5
30802,,Bagac,19.7,9.4,11.2
30803,,Balanga City,5.9,4.3,9.5
30804,,Dinalupihan,11.7,5.7,13.8
30805,,Hermosa,12.6,10.7,14.1
30806,,Limay,7.4,5.8,10.8
30807,,Mariveles,7.2,2.6,10.5
30808,,Morong,20.8,12.7,15.0
30809,,Orani,10.4,7.4,10.6
30810,,Orion,9.5,9.8,14.5
30811,,Pilar,8.9,7.7,12.6
30812,,Samal,12.0,4.6,13.1
31401,Bulacan,Angat,7.8,7.2,7.6
31402,,Balagtas,5.5,4.2,6.9
31403,,Baliuag,5.7,5.4,5.4
31404,,Bocaue,3.4,4.2,7.7
31405,,Bulacan,3.6,5.7,6.2
31406,,Bustos,8.1,5.9,5.8
31407,,Calumpit,6.4,5.2,6.3
31408,,Guiguinto,4.1,4.3,5.7
31409,,Hagonoy,8.6,8.6,6.1
31410,,Malolos City,5.2,4.1,4.6
31411,,Marilao,3.4,2.8,5.1
31412,,Meycauayan City,4.5,1.7,5.8
31413,,Norzagaray,10.0,6.7,8.6
31414,,Obando,6.8,4.1,5.2
31415,,Pandi,7.6,6.9,8.8
31416,,Paombong,7.1,10.4,8.3
31417,,Plaridel,5.0,6.0,6.0
31418,,Pulilan,6.9,4.8,7.4
31419,,San Idelfonso,12.3,11.9,9.2
31420,,San Jose Del Monte City,5.8,5.1,7.0
31421,,San Miguel,11.8,12.6,10.5
31422,,San Rafael,8.3,7.3,7.0
31423,,Santa Maria,5.0,4.1,6.2
31424,,Doña Remedios Trinidad,35.2,24.6,18.9
34901,Nueva Ecija,Aliaga,25.4,19.0,16.4
34902,,Bongabon,21.7,16.5,14.8
34903,,Cabanatuan City,10.9,10.6,12.4
34904,,Cabiao,15.2,15.2,14.8
34905,,Carranglan,32.3,28.8,17.5
34906,,Cuyapo,27.2,21.3,21.4
34907,,Gabaldon,29.2,24.1,17.8
34908,,Gapan City,14.0,12.5,14.6
34909,,General Mamerto Natividad,26.8,18.1,16.7
34910,,General Tinio,15.7,15.4,14.9
34911,,Guimba,25.2,20.7,18.9
34912,,Jaen,19.0,17.7,17.0
34913,,Laur,31.2,25.4,21.0
34914,,Licab,25.5,16.3,18.6
34915,,Llanera,25.7,18.0,13.0
34916,,Lupao,26.4,18.9,20.4
34917,,Muñoz City,21.4,15.1,14.1
34918,,Nampicuan,25.8,16.3,19.1
34919,,Palayan City,16.0,16.9,14.5
34920,,Pantabangan,21.8,19.5,24.9
34921,,Peñaranda,11.3,15.0,13.7
34922,,Quezon,26.7,24.1,18.0
34923,,Rizal,19.3,18.2,15.2
34924,,San Antonio,17.2,18.1,14.8
34925,,San Isidro,11.8,12.6,10.2
34926,,San Jose City,19.1,14.2,13.2
34927,,San Leonardo,13.6,12.2,15.8
34928,,Santa Rosa,15.0,15.6,13.3
34929,,Santo Domingo,20.3,18.7,14.3
34930,,Talavera,18.3,17.4,13.0
