,school_id,school_name,region,province,municipality,division,district,year_level,gender,enrollment,latitude,longitude
8173,108355,Banka-Banka ES,IV-A (CALABARZON),Laguna,Nagcarlan,Laguna,Nagcarlan-Rizal,grade 4,male,25,14.1888253,121.3798921
8174,108236,Banlic ES,IV-A (CALABARZON),Laguna,Cabuyao,Laguna,Cabuyao,grade 4,male,102,14.2262168,121.1567203
8175,109828,Banlic ES,IV-A (CALABARZON),Laguna,City of Calamba,Calamba City,Calamba City East II,grade 4,male,114,14.1876712,121.1250825
8176,109864,Barandal ES,IV-A (CALABARZON),Laguna,City of Calamba,Calamba City,Calamba City West,grade 4,male,58,14.1942677,121.1280781
8177,108097,Batas ES,IV-A (CALABARZON),Cavite,Silang,Cavite,Silang I,grade 4,male,24,14.2471638,120.9388678
8178,108017,Batong Dalig ES,IV-A (CALABARZON),Cavite,Kawit,Cavite,Kawit,grade 4,male,46,14.432295,120.9001293
8179,107915,Bautista Elementary School,IV-A (CALABARZON),Cavite,City of Dasmarinas,Dasmarinas City,DasmariÐas II,grade 4,male,283,14.3132934,120.9716783
8180,108200,Bay CS,IV-A (CALABARZON),Laguna,Bay,Laguna,Bay,grade 4,male,119,14.1320007,121.2569138
8181,107970,Bayan Luma I ES,IV-A (CALABARZON),Cavite,Imus,Cavite,Imus I,grade 4,male,90,14.4226903,120.9352814
8182,107971,Bayan Luma II ES,IV-A (CALABARZON),Cavite,Imus,Cavite,Imus I,grade 4,male,53,14.4207756,120.9395851
8183,107878,Bayanan ES,IV-A (CALABARZON),Cavite,Bacoor,Cavite,Bacoor II,grade 4,male,208,14.4259621,120.9670686
8184,108304,Bayog ES,IV-A (CALABARZON),Laguna,Los Banos,Laguna,Los BaÐos,grade 4,male,97,14.1872666,121.2483291
8185,164008,Belvedere ES,IV-A (CALABARZON),Cavite,General Trias,Cavite,General Trias I,grade 4,male,115,14.334515,120.880167
8186,108028,Bendita ES,IV-A (CALABARZON),Cavite,Magallanes,Cavite,Magallanes,grade 4,male,33,14.1609933,120.7519153
8187,109798,Bernadina Aranza Deveza Memorial School,IV-A (CALABARZON),Laguna,San Pablo City,San Pablo City,San Francisco,grade 4,male,63,14.0648189,121.2780762
8188,108305,Bernaldo N. Calara ES,IV-A (CALABARZON),Laguna,Los Banos,Laguna,Los BaÐos,grade 4,male,34,14.1752073,121.2322694
8189,108163,"Bienvenido R. Fojas ES (Sahud Ulan PS, Halayhay Annex)",IV-A (CALABARZON),Cavite,Tanza,Cavite,Tanza,grade 4,male,72,14.3776018,120.8245786
8190,108098,Biga ES,IV-A (CALABARZON),Cavite,Silang,Cavite,Silang I,grade 4,male,65,14.2502006,120.975667
8191,108237,Bigaa ES,IV-A (CALABARZON),Laguna,Cabuyao,Laguna,Cabuyao,grade 4,male,111,14.2885434,121.1266458
8192,107841,Bilog ES,IV-A (CALABARZON),Cavite,Alfonso,Cavite,Alfonso,grade 4,male,14,14.1080796,120.8369736
8193,108099,Biluso ES,IV-A (CALABARZON),Cavite,Silang,Cavite,Silang I,grade 4,male,19,14.2365495,120.9589496
8194,108018,Binakayan ES,IV-A (CALABARZON),Cavite,Kawit,Cavite,Kawit,grade 4,male,175,14.4350805,120.8890457
8195,108213,BiÐan CES (DoÐa Aurora ES),IV-A (CALABARZON),Laguna,City of Binan,Laguna,BiÐan,grade 4,male,186,33.1457497,75.5480491
8196,108201,Bitin Elementary School,IV-A (CALABARZON),Laguna,Bay,Laguna,Bay,grade 4,male,94,14.0937826,121.2133251
8197,108100,Bliss Elementary School,IV-A (CALABARZON),Cavite,Silang,Cavite,Silang I,grade 4,male,39,14.2464933,120.9730225
8198,108315,Bonifacio Elementary School,IV-A (CALABARZON),Laguna,Luisiana,Laguna,Luisiana,grade 4,male,57,14.184536,121.509536
8199,108437,Bubukal ES,IV-A (CALABARZON),Laguna,Santa Cruz (Capital),Laguna,Santa Cruz,grade 4,male,79,14.2691095,121.4113308
8200,164524,Bubukal ES - Annex,IV-A (CALABARZON),Laguna,Santa Cruz (Capital),Laguna,Santa Cruz,grade 4,male,23,14.2626438,121.4027574
8201,109840,Bubuyan ES,IV-A (CALABARZON),Laguna,City of Calamba,Calamba City,Calamba City West,grade 4,male,22,14.1761236,121.1108895
8202,109814,Bucal Elementary School,IV-A (CALABARZON),Laguna,City of Calamba,Calamba City,Calamba City East I,grade 4,male,84,14.18874,121.168886
